mode,kind,case,eta_peak,yg,sigma,seed,jitter,t_onset_curl,t_onset_div,jc_ratio,jd_ratio,Deta_int,Deta_target,Deta_err,eff_curl,eff_div,Tmax
match,RUN,match_yg9_sig1.2_ep0.0078125,0.007812500000000002,9.0,1.2,2,0.02,7.4,6.75,0.37894376091588516,0.6443471297432214,0.003179110110958524,0.003166982122269186,1.2127988689337663e-05,195.3553722292626,111.87183137533628,12.0
match,RUN,match_yg10_sig1.2_ep0.00442188,0.0044218750000000005,10.0,1.2,2,0.02,7.0,6.65,0.5577133488761339,0.7101757184250244,0.003108351473900582,0.003166982122269186,-5.8630648368604085e-05,142.28978120317043,93.24051157293464,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,2,0.02,6.9,6.6000000000000005,0.6485972259168628,0.7578280846665325,0.0032104077676611284,0.003166982122269186,4.3425645391942293e-05,109.45736476931837,75.43338194384462,12.0
fixed,OFF,OFF,0.0,0.0,1.2,2,0.03,5.8,5.2,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,2,0.03,6.8,5.8500000000000005,0.48624764261294695,0.7476185548366558,0.003199023389863223,nan,nan,160.59662427445363,78.89327910607585,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,2,0.03,6.8,5.8500000000000005,0.48624764261294695,0.7476185548366558,0.003199023389863223,0.003199023389863223,0.0,160.59662427445363,78.89327910607585,12.0
match,RUN,match_yg1_sig1.2_ep0.0107188,0.010718750000000003,1.0,1.2,2,0.03,6.8,5.8500000000000005,0.4919478172524258,0.7542477349134937,0.003276476498176596,0.003199023389863223,7.745310831337292e-05,155.06053012445295,75.00504435886258,12.0
match,RUN,match_yg2_sig1.2_ep0.00878125,0.00878125,2.0,1.2,2,0.03,6.75,5.8500000000000005,0.5070462699146708,0.7654059569608674,0.0032431928315835097,0.003199023389863223,4.41694417202868e-05,151.99642934726188,72.33428760527647,12.0
match,RUN,match_yg3_sig1.2_ep0.00926563,0.009265625000000001,3.0,1.2,2,0.03,6.9,5.8500000000000005,0.4884976585594185,0.7528058005529495,0.0031913753691396106,0.003199023389863223,-7.648020723612352e-06,160.27645835296448,77.45694907512356,12.0
match,RUN,match_yg4_sig1.2_ep0.0145938,0.014593750000000003,4.0,1.2,2,0.03,7.05,6.0,0.39574000722858116,0.7230012998483767,0.003220823856057808,0.003199023389863223,2.1800466194584877e-05,187.6103816217429,86.0024368084076,12.0
match,RUN,match_yg5_sig1.2_ep0.029125,0.029125,5.0,1.2,2,0.03,7.65,6.25,0.2823860131870134,0.6810510788103088,0.0031672695372935485,0.003199023389863223,-3.17538525696744e-05,226.57180841836157,100.70154037544751,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,2,0.03,7.8,6.5,0.23620917997442253,0.6361488391038977,0.0031162551375513562,0.003199023389863223,-8.27682523118667e-05,245.0989364836595,116.75910502694067,12.0
match,RUN,match_yg7_sig1.2_ep0.036875,0.036875000000000005,7.0,1.2,2,0.03,7.8,6.65,0.23609850520406234,0.6220416642921485,0.0031887227061125354,0.003199023389863223,-1.0300683750687559e-05,239.56347578658927,118.52969685427163,12.0
